Rk,Uni,Name,Birth,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr,Name-additional
1,31,Liam Hendriks,au AU,Pitcher,*,,35,R,R,"6' 0""",235,Feb 10 1989,2007,hendrli01
2,99,Luis Guerrero,do DO,Pitcher,*,,23,R,R,"6' 0""",215,Aug 5 2000,2020,guerrlu01
3,93,Luis Perales,ve VE,Pitcher,*,,21,R,R,"6' 1""",160,Apr 14 2003,2021,redirect.fcgi?player=1&mlb_ID=691384
4,,Hunter Dobbins,us US,Pitcher,*,,24,R,R,"6' 2""",185,Aug 30 1999,2019,redirect.fcgi?player=1&mlb_ID=690928
5,80,Richard Fitts,us US,Pitcher,*,,24,R,R,"6' 3""",230,Dec 17 1999,2019,fittsri01
6,63,Justin Slaten,us US,Pitcher,*,,26,R,R,"6' 4""",222,Sep 15 1997,2017,slateju01
7,67,Zach Penrod,us US,Pitcher,*,,27,L,L,"6' 2""",210,Jun 16 1997,2017,penroza01
8,68,Quinn Priester,us US,Pitcher,*,,23,R,R,"6' 3""",210,Sep 16 2000,2019,priesqu01
9,64,Cooper Criswell,us US,Pitcher,*,,27,R,R,"6' 6""",200,Jul 24 1996,2018,criswco01
10,66,Brayan Bello,do DO,Pitcher,*,,25,R,R,"6' 1""",195,May 17 1999,2018,bellobr01
11,76,Zack Kelly,us US,Pitcher,*,,29,R,R,"6' 3""",231,Mar 3 1995,2017,kellyza01
12,35,Garrett Crochet,us US,Pitcher,*,,25,L,L,"6' 6""",245,Jun 21 1999,2018,crochga01
13,50,Kutter Crawford,us US,Pitcher,*,,28,R,R,"6' 1""",195,Apr 1 1996,2017,crawfku01
14,22,Garrett Whitlock,us US,Pitcher,*,,28,R,R,"6' 5""",222,Jun 11 1996,2016,whitlga01
15,25,Josh Winckowski,us US,Pitcher,*,,26,R,R,"6' 4""",215,Jun 28 1998,2016,winckjo01
16,57,Greg Weissert,us US,Pitcher,*,,29,R,R,"6' 2""",235,Feb 4 1995,2014,weissgr01
17,72,Chris Murphy,us US,Pitcher,*,,26,L,L,"6' 1""",186,Jun 5 1998,2016,murphch01
18,32,Justin Wilson,us US,Pitcher,*,,36,L,L,"6' 2""",205,Aug 18 1987,2009,wilsoju10
19,44,Aroldis Chapman,cu CU,Pitcher,*,,36,L,L,"6' 4""",235,Feb 28 1988,2005,chapmar01
20,43,Patrick Sandoval,us US,Pitcher,*,,27,L,L,"6' 3""",190,Oct 18 1996,2015,sandopa02
21,83,Brennan Bernardino,us US,Pitcher,*,,32,L,L,"6' 4""",180,Jan 15 1992,2014,bernabr01
22,54,Lucas Giolito,us US,Pitcher,*,,29,R,R,"6' 6""",245,Jul 14 1994,2012,giolilu01
23,89,Tanner Houck,us US,Pitcher,*,,28,R,R,"6' 5""",226,Jun 29 1996,2015,houckta01
24,,Walker Buehler,us US,Pitcher,*,,29,R,R,"6' 2""",185,Jul 28 1994,2013,buehlwa01
25,7,Masataka Yoshida,jp JP,Position,*,,30,L,R,"5' 8""",192,Jul 15 1993,2016,yoshima02
26,,Jhostynxon Garcia,ve VE,Position,*,,21,R,R,"6' 0""",163,Dec 11 2002,2021,redirect.fcgi?player=1&mlb_ID=691373
27,10,Trevor Story,us US,Position,*,,31,R,R,"6' 2""",209,Nov 15 1992,2011,storytr01
28,5,Vaughn Grissom,us US,Position,*,,23,R,R,"6' 2""",210,Jan 5 2001,2019,grissva01
29,20,Nick Sogard,us US,Position,*,,26,S,R,"6' 0""",189,Sep 9 1997,2017,sogarni01
30,30,Rob Refsnyder,kr KR,Position,*,,33,R,R,"6' 0""",215,Mar 26 1991,2011,refsnro01
31,11,Rafael Devers,do DO,Position,*,,27,L,R,"6' 0""",235,Oct 24 1996,2014,deverra01
32,16,Jarren Duran,us US,Position,*,,27,L,R,"6' 2""",205,Sep 5 1996,2016,duranja01
33,3,Ceddanne Rafaela,cw CW,Position,*,,23,R,R,"5' 9""",165,Sep 18 2000,2018,rafaece01
34,12,Connor Wong,us US,Position,*,,28,R,R,"6' 1""",190,May 19 1996,2015,wongco01
35,52,Wilyer Abreu,ve VE,Position,*,,25,L,L,"5' 10""",215,Jun 24 1999,2017,abreuwi02
36,23,Romy Gonzalez,us US,Position,*,,27,R,R,"6' 0""",215,Sep 6 1996,2016,gonzaro01
37,,Carlos Narváez,ve VE,Position,*,,25,R,R,"5' 11""",190,Nov 26 1998,2016,narvaca01
38,36,Triston Casas,us US,Position,*,,24,L,R,"6' 5""",244,Jan 15 2000,2018,casastr01
39,17,David Hamilton,us US,Position,*,,26,L,R,"5' 10""",188,Sep 29 1997,2017,hamilda03
40,,Blake Sabol,us US,Position,*,,26,L,R,"6' 4""",225,Jan 7 1998,2017,sabolbl01
